Disease,Model,Model Label,Projection Plausible,Minimum Projected AAMR,2025 Mean Predicted AAMR,2025/2019 Predicted Ratio,MAE,RMSE,MAPE (%),R-squared
Pneumonia,recency_weighted_48_quadratic_month_fe,Recency-weighted quadratic trend + month effects (48-month half-life),False,1.3,1.9416666666666667,0.6734104046242775,0.14583333333333331,0.2354074481970922,4.248823464863948,0.8379942140790744
Pneumonia,anchored_quadratic_month_fe_30,"Quadratic trend + month effects, anchored 30% to recent seasonal mean",False,1.7,2.2666666666666666,0.7861271676300577,0.1666666666666666,0.23804761428476157,5.049679067645544,0.8343399482312339
Pneumonia,log_anchored_quadratic_month_fe_40,"Log-quadratic trend + month effects, anchored 40% to recent seasonal mean",True,2.0,2.4499999999999997,0.8497109826589595,0.1875,0.24238399287081647,5.919267234108713,0.8282495051514998
Pneumonia,anchored_quadratic_month_fe_40,"Quadratic trend + month effects, anchored 40% to recent seasonal mean",True,1.8,2.375,0.823699421965318,0.1791666666666666,0.2440969752646134,5.545176625643103,0.8258133279196063
Pneumonia,log_cubic_month_fe,Log-cubic trend + month effects,False,1.7,2.066666666666667,0.7167630057803469,0.18333333333333326,0.24832774042918893,5.753227924977297,0.8197228848398722
Pneumonia,recency_weighted_36_quadratic_month_fe,Recency-weighted quadratic trend + month effects (36-month half-life),False,1.3,1.9416666666666667,0.6734104046242775,0.15,0.24832774042918904,4.364564205604689,0.8197228848398721
Pneumonia,log_anchored_quadratic_month_fe_30,"Log-quadratic trend + month effects, anchored 30% to recent seasonal mean",True,1.9,2.375,0.823699421965318,0.1791666666666666,0.24916527312876752,5.499898499772873,0.8185047962239254
Pneumonia,recent_2014_quadratic_month_fe,2014+ quadratic trend + month effects,False,1.1,1.6666666666666667,0.5780346820809249,0.17500000000000002,0.25,5.384036817819238,0.8172867076079785
Pneumonia,recency_weighted_24_quadratic_month_fe,Recency-weighted quadratic trend + month effects (24-month half-life),False,1.3,1.8916666666666666,0.6560693641618497,0.1625,0.25576682088704683,4.810248729414213,0.8087600872963507
Pneumonia,log_anchored_quadratic_fourier_20,"Log-quadratic trend + Fourier seasonality, anchored 20% to recent seasonal mean",False,1.9,2.2666666666666666,0.7861271676300577,0.15000000000000002,0.2565800719723442,4.554112049512033,0.807541998680404
Pneumonia,log_anchored_quadratic_month_fe_50,"Log-quadratic trend + month effects, anchored 50% to recent seasonal mean",True,2.1,2.566666666666667,0.8901734104046244,0.2041666666666667,0.25739075352467505,6.497601435826534,0.8063239100644572
Pneumonia,anchored_quadratic_fourier_20,"Quadratic trend + Fourier seasonality, anchored 20% to recent seasonal mean",False,1.5,2.125,0.7369942196531792,0.1625,0.26060826285186484,4.80330573535499,0.8014515556006699
Pneumonia,anchored_quadratic_fourier_30,"Quadratic trend + Fourier seasonality, anchored 30% to recent seasonal mean",False,1.7,2.2666666666666666,0.7861271676300577,0.1625,0.26378652985574025,4.781845242520054,0.7965792011368827
Pneumonia,log_anchored_quadratic_fourier_40,"Log-quadratic trend + Fourier seasonality, anchored 40% to recent seasonal mean",True,2.0,2.4583333333333335,0.8526011560693643,0.19166666666666674,0.2645751311064591,6.043800210067127,0.7953611125209359
Pneumonia,anchored_quadratic_fourier_40,"Quadratic trend + Fourier seasonality, anchored 40% to recent seasonal mean",True,1.8,2.3833333333333333,0.8265895953757225,0.18333333333333332,0.26614532371118843,5.556790204965015,0.7929249352890424
Pneumonia,log_anchored_quadratic_fourier_30,"Log-quadratic trend + Fourier seasonality, anchored 30% to recent seasonal mean",True,1.9,2.3666666666666667,0.8208092485549133,0.17083333333333336,0.2669269563007828,5.249945916212834,0.7917068466730955
Pneumonia,log_anchored_quadratic_fourier_50,"Log-quadratic trend + Fourier seasonality, anchored 50% to recent seasonal mean",True,2.1,2.558333333333333,0.8872832369942196,0.2125,0.2684833948931168,6.8249611787280955,0.7892706694412019
Pneumonia,quadratic_fourier,Quadratic trend + Fourier seasonality,False,1.3,1.9166666666666667,0.6647398843930636,0.16666666666666666,0.27233557730613644,5.077776634825891,0.783180226361468
Pneumonia,cubic_month_fe,Cubic trend + month effects,True,1.7,2.35,0.8150289017341041,0.2125,0.2730994934695656,6.656746190337668,0.781962137745521
Pneumonia,log_anchored_quadratic_month_fe_60,"Log-quadratic trend + month effects, anchored 60% to recent seasonal mean",True,2.2,2.6583333333333337,0.9219653179190753,0.22916666666666666,0.2730994934695656,7.436059582618014,0.7819621377455211
Pneumonia,anchored_quadratic_month_fe_50,"Quadratic trend + month effects, anchored 50% to recent seasonal mean",True,1.9,2.5,0.8670520231213873,0.2041666666666667,0.27309949346956564,6.350760429610529,0.781962137745521
Pneumonia,log_anchored_quadratic_fourier_60,"Log-quadratic trend + Fourier seasonality, anchored 60% to recent seasonal mean",True,2.2,2.6583333333333337,0.9219653179190753,0.22083333333333333,0.27613402542968146,7.1158068273323645,0.7770897832817338
Pneumonia,recent_2013_quadratic_month_fe,2013+ quadratic trend + month effects,True,1.8,2.408333333333333,0.8352601156069364,0.2125,0.2776388541492947,6.8570985000649785,0.7746536060498401
Pneumonia,anchored_quadratic_month_fe_60,"Quadratic trend + month effects, anchored 60% to recent seasonal mean",True,2.0,2.6083333333333334,0.9046242774566474,0.21666666666666667,0.2843120351538664,6.864909383726587,0.7636908085063189
Pneumonia,anchored_quadratic_fourier_60,"Quadratic trend + Fourier seasonality, anchored 60% to recent seasonal mean",True,2.0,2.6083333333333334,0.9046242774566474,0.225,0.2843120351538664,7.144008462441895,0.7636908085063189
Pneumonia,anchored_quadratic_fourier_50,"Quadratic trend + Fourier seasonality, anchored 50% to recent seasonal mean",True,1.9,2.5,0.8670520231213873,0.2166666666666667,0.28867513459481287,6.717173802848615,0.7563822768106381
Pneumonia,linear_fourier,Linear trend + Fourier seasonality,False,1.6,2.225,0.7716763005780347,0.17916666666666667,0.2950988534937629,5.335568895359379,0.7454194792671167
Pneumonia,log_anchored_quadratic_month_fe_70,"Log-quadratic trend + month effects, anchored 70% to recent seasonal mean",True,2.3,2.775,0.9624277456647399,0.25,0.29720924166878343,8.16297454536702,0.7417652134192764
Pneumonia,log_anchored_quadratic_fourier_70,"Log-quadratic trend + Fourier seasonality, anchored 70% to recent seasonal mean",True,2.3,2.775,0.9624277456647399,0.25833333333333336,0.3013856886670855,8.389025784576154,0.7344566817235954
Pneumonia,anchored_quadratic_fourier_70,"Quadratic trend + Fourier seasonality, anchored 70% to recent seasonal mean",True,2.1,2.725,0.9450867052023122,0.24583333333333335,0.30345235760055206,7.843766067441436,0.7308024158757551
Pneumonia,anchored_quadratic_month_fe_80,"Quadratic trend + month effects, anchored 80% to recent seasonal mean",True,2.3,2.858333333333333,0.991329479768786,0.2541666666666667,0.3034523576005521,8.314429571822044,0.7308024158757549
Pneumonia,anchored_quadratic_month_fe_70,"Quadratic trend + month effects, anchored 70% to recent seasonal mean",True,2.1,2.733333333333333,0.9479768786127166,0.25,0.30550504633038933,8.064429571822046,0.7271481500279146
Pneumonia,anchored_quadratic_fourier_80,"Quadratic trend + Fourier seasonality, anchored 80% to recent seasonal mean",True,2.3,2.8333333333333335,0.9826589595375723,0.26666666666666666,0.31224989991991986,8.67068914436451,0.7149672638684466
Pneumonia,log_anchored_quadratic_fourier_80,"Log-quadratic trend + Fourier seasonality, anchored 80% to recent seasonal mean",True,2.3,2.875,0.9971098265895953,0.2708333333333333,0.3142451272494133,8.89191930309467,0.7113129980206062
Pneumonia,log_anchored_quadratic_month_fe_80,"Log-quadratic trend + month effects, anchored 80% to recent seasonal mean",True,2.3,2.8666666666666667,0.9942196531791908,0.26666666666666666,0.31622776601683794,8.738040682933155,0.7076587321727656
Pneumonia,recent_2015_quadratic_month_fe,2015+ quadratic trend + month effects,False,1.7,2.283333333333333,0.791907514450867,0.325,0.4,10.78964135493381,0.532253971476425
Sepsis,recent_2013_quadratic_month_fe,2013+ quadratic trend + month effects,False,1.7,2.125,0.5130784708249497,0.10833333333333339,0.17078251276599335,2.404414004608134,0.835423197492163
Sepsis,log_cubic_month_fe,Log-cubic trend + month effects,False,1.2,1.3833333333333335,0.3340040241448693,0.12083333333333329,0.181429508808977,2.6850693784270168,0.8142633228840126
Sepsis,recent_2014_quadratic_month_fe,2014+ quadratic trend + month effects,False,1.3,1.7166666666666668,0.4144869215291751,0.10833333333333328,0.18257418583505536,2.3834685084517626,0.8119122257053293
Sepsis,recent_2012_quadratic_month_fe,2012+ quadratic trend + month effects,False,2.0,2.45,0.591549295774648,0.1375,0.1881931631772703,3.1024221359617647,0.8001567398119122
Sepsis,cubic_month_fe,Cubic trend + month effects,False,-1.2,-0.5333333333333333,-0.12877263581488935,0.12083333333333325,0.1925703334715223,2.665576201039101,0.7907523510971789
